product_id,product_name,price,total_sales,chiffre_affaires,zscore,premium
6128,Moulin de Gassac IGP Pays d'Hérault Blanc Faune 2017,10.6,3.0,31.799999999999997,-0.7872248839621211,False
6129,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,5.2,0.0,0.0,-0.9813959762044464,False
6137,Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,46.0,2.0,92.0,0.4856744985153439,False
6204,Domaine Giudicelli Muscat du Cap Corse 2016,31.0,7.0,217.0,-0.05368964660222605,False
6205,Domaine Giudicelli Vin de France Corail Rouge 2019,20.2,0.0,0.0,-0.44203183108687644,False
6206,Domaine Giudicelli Patrimonio Blanc 2019,25.2,41.0,1033.2,-0.2622437827143531,False
6207,Domaine Giudicelli Patrimonio Rouge 2016,25.2,37.0,932.4,-0.2622437827143531,False
6221,Planeta Sicilia Eruzione 1614 2017,23.5,0.0,0.0,-0.32337171916101104,False
6222,Planeta Sicilia Passito di Noto 2016,26.4,0.0,0.0,-0.21909465110494755,False
6223,Planeta Sicilia Chardonnay 2017,26.7,6.0,160.2,-0.20830736820259613,False
6225,Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,20.4,4.0,81.6,-0.4348403091519755,False
6226,Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,20.4,0.0,0.0,-0.4348403091519755,False
6227,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,40.2,1.0,40.2,0.27712036240321697,False
6278,Borie de Maurel Minervois Rouge Esprit d'Automne 2019,9.0,5.0,45.0,-0.8447570594413286,False
6279,Borie de Maurel Minervois Rouge Maxime 2003,45.9,0.0,0.0,0.4820787375478934,False
6280,Borie de Maurel Minervois Blanc La Belle Aude 2018,10.4,0.0,0.0,-0.7944164058970221,False
6299,Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017,78.0,0.0,0.0,1.636318008099493,False
6301,Borie La Vitarèle Saint-Chinian Midi Rouge 2015,40.5,0.0,0.0,0.2879076453055682,False
6325,Tempier Bandol Blanc 2018,27.9,0.0,0.0,-0.16515823659319057,False
6328,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,22.4,0.0,0.0,-0.36292508980296617,False
6567,"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014",28.4,0.0,0.0,-0.14717943175593823,False
6568,Decelle-Villa Chambolle-Musigny 2017,72.0,0.0,0.0,1.4205723500524652,False
6569,Decelle-Villa Chorey-Lès-Beaune 2016,29.0,3.0,87.0,-0.12560486595123538,False
6570,Decelle-Villa Marsannay Les Longeroies 2015,29.2,0.0,0.0,-0.11841334401633447,False
6572,Decelle-Villa Saint-Aubin 1er Cru Sous Roche Dumay 2015,44.0,0.0,0.0,0.4137592791663346,False
6573,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,68.3,1.0,68.3,1.2875291942567977,False
6575,Marc Colin Et Fils Saint-Aubin 1er Cru La Chatenière 2017,41.8,0.0,0.0,0.3346525378824242,False
6578,Saumaize-Michelin Pouilly-Fuissé Ampélopsis 2016,40.0,7.0,280.0,0.2699288404683159,False
6584,La Préceptorie Côtes du Roussillon Blanc Coume Marie 2018,13.5,0.0,0.0,-0.6829478159060577,False
6585,La Préceptorie Côtes du Roussillon Blanc Terres Nouvelles 2018,19.0,0.0,0.0,-0.485180962696282,False
6592,Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,24.4,0.0,0.0,-0.2910098704539569,False
6615,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,32.8,0.0,0.0,0.011034050811882242,False
6616,Clos du Mont-Olivet Lirac Rouge 2017,15.4,1.0,15.4,-0.6146283575244988,False
6617,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,9.9,6.0,59.400000000000006,-0.8123952107342745,False
6618,Clos du Mont-Olivet Vins de Pays du Gard Confluence 2017,13.5,0.0,0.0,-0.6829478159060577,False
6620,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005,51.0,0.0,0.0,0.6654625468878672,False
6621,Thierry Germain Saumur-Champigny La Marginale 2018,35.2,3.0,105.60000000000001,0.09733231403069363,False
6622,Thierry Germain Saumur-Champigny Les Mémoires 2018,42.2,0.0,0.0,0.34903558175222626,False
6626,Weingut Besson-Strasser Zürich Räuschling 2018,33.2,0.0,0.0,0.02541709468168431,False
6627,Weingut Besson-Strasser Zürich Fumé 2017,41.8,1.0,41.8,0.3346525378824242,False
6628,Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,32.2,0.0,0.0,-0.010540514992820351,False
6629,Weingut Besson-Strasser Zürich Pinot Noir Cholfirst 2017,37.7,1.0,37.7,0.1872263382169553,False
6631,Weingut Besson-Strasser Zürich Pinot Noir Albi 2016,47.2,0.0,0.0,0.5288236301247496,False
6632,Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,52.7,1.0,52.7,0.7265904833345253,False
6635,Domaine de la Monardière Vacqueyras Vieilles Vignes 2016,22.4,1.0,22.4,-0.36292508980296617,False
6663,Catherine et Claude Maréchal Pommard La Chanière 2017,50.4,0.0,0.0,0.6438879810831644,False
6664,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017,35.6,0.0,0.0,0.11171535790049546,False
6665,Domaine Hauvette IGP Alpilles Jaspe 2017,27.7,1.0,27.7,-0.17234975852809145,False
6666,Domaine Hauvette IGP Alpilles Dolia 2013,48.5,0.0,0.0,0.5755685227016055,False
6738,Emile Boeckel Crémant Chardonnay Extra Brut 2016,15.4,3.0,46.2,-0.6146283575244988,False
6751,Château Simone Palette Blanc 2017,46.5,0.0,0.0,0.5036533033525962,False
6753,Château Simone Palette Rouge 2015,46.5,0.0,0.0,0.5036533033525962,False
6884,Domino Romano Ribera del Duero RDR 2015,46.5,0.0,0.0,0.5036533033525962,False
6886,Gratavinum Priorat GV5 2011,42.0,0.0,0.0,0.34184405981732524,False
6887,Gratavinum Priorat 2?r 2017,21.8,0.0,0.0,-0.3844996556076689,False
6920,Château Jean Faure Saint-Emilion Grand Cru 2015,50.5,0.0,0.0,0.6474837420506149,False
6926,Château Jean Faure Saint-Emilion Grand Cru 2016,49.9,1.0,49.9,0.625909176245912,False
6928,Le Cèdre de Jean Faure Saint-Emilion 2016,19.0,2.0,38.0,-0.485180962696282,False
6930,Mouthes Le Bihan Côtes de Duras L'Aimé Chai 2015,8.4,5.0,42.0,-0.8663316252460315,False
7023,Camin Larredya Jurançon Sec La Virada 2018,27.5,0.0,0.0,-0.17954128046299236,False
7025,Domaine Jamet Côte Rôtie Fructus Voluptas 2018,69.0,0.0,0.0,1.3126995210289512,False
7247,Clos du Mont-Olivet Châteauneuf-du-Pape 2007,54.8,0.0,0.0,0.8021014636509848,False
7338,Domaine Saint-Nicolas Vin de France Blanc Les Clous 2019,16.3,0.0,0.0,-0.5822665088174446,False
